RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,13162420,2005,11,Noviembre
Total,,Pernoctaciones,22163277,2005,10,Octubre
Total,,Pernoctaciones,28313666,2005,9,Septiembre
Total,,Pernoctaciones,35857571,2005,8,Agosto
Total,,Pernoctaciones,31022067,2005,7,Julio
Total,,Pernoctaciones,25042689,2005,6,Junio
Total,,Pernoctaciones,22318874,2005,5,Mayo
Total,,Pernoctaciones,16480644,2005,4,Abril
Total,,Pernoctaciones,16184767,2005,3,Marzo
Total,,Pernoctaciones,12430710,2005,2,Febrero
Total,,Pernoctaciones,11088055,2005,1,Enero
Total,,Pernoctaciones,11384786,2004,12,Diciembre
Total,,Pernoctaciones,12294550,2004,11,Noviembre
Total,,Pernoctaciones,21180295,2004,10,Octubre
Total,,Pernoctaciones,26878757,2004,9,Septiembre
Total,,Pernoctaciones,34472302,2004,8,Agosto
Total,,Pernoctaciones,29131986,2004,7,Julio
Total,,Pernoctaciones,23776940,2004,6,Junio
Total,,Pernoctaciones,20624722,2004,5,Mayo
Total,,Pernoctaciones,17537681,2004,4,Abril
Total,,Pernoctaciones,14731784,2004,3,Marzo
Total,,Pernoctaciones,12278676,2004,2,Febrero
Total,,Pernoctaciones,10404685,2004,1,Enero
Total,,Pernoctaciones,10426118,2003,12,Diciembre
Total,,Pernoctaciones,11600240,2003,11,Noviembre
Total,,Pernoctaciones,19635547,2003,10,Octubre
Total,,Pernoctaciones,25943815,2003,9,Septiembre
Total,,Pernoctaciones,33851008,2003,8,Agosto
Total,,Pernoctaciones,28557092,2003,7,Julio
Total,,Pernoctaciones,24047255,2003,6,Junio
Total,,Pernoctaciones,20977540,2003,5,Mayo
Total,,Pernoctaciones,17483719,2003,4,Abril
Total,,Pernoctaciones,14414114,2003,3,Marzo
Total,,Pernoctaciones,11135676,2003,2,Febrero
Total,,Pernoctaciones,10088783,2003,1,Enero
Total,,Pernoctaciones,10267810,2002,12,Diciembre
Total,,Pernoctaciones,11536070,2002,11,Noviembre
Total,,Pernoctaciones,19395671,2002,10,Octubre
Total,,Pernoctaciones,25483036,2002,9,Septiembre
Total,,Pernoctaciones,32147463,2002,8,Agosto
Total,,Pernoctaciones,27712422,2002,7,Julio
Total,,Pernoctaciones,22781459,2002,6,Junio
Total,,Pernoctaciones,20427391,2002,5,Mayo
Total,,Pernoctaciones,15757341,2002,4,Abril
Total,,Pernoctaciones,15746849,2002,3,Marzo
Total,,Pernoctaciones,11501625,2002,2,Febrero
Total,,Pernoctaciones,9797644,2002,1,Enero
Total,,Pernoctaciones,10051397,2001,12,Diciembre
Total,,Pernoctaciones,11920037,2001,11,Noviembre
Total,,Pernoctaciones,20014768,2001,10,Octubre
Total,,Pernoctaciones,26584837,2001,9,Septiembre
Total,,Pernoctaciones,32004309,2001,8,Agosto
Total,,Pernoctaciones,28657024,2001,7,Julio
Total,,Pernoctaciones,23896573,2001,6,Junio
Total,,Pernoctaciones,21063744,2001,5,Mayo
Total,,Pernoctaciones,18085751,2001,4,Abril
Total,,Pernoctaciones,14516657,2001,3,Marzo
Total,,Pernoctaciones,11753586,2001,2,Febrero
Total,,Pernoctaciones,10132886,2001,1,Enero
Total,,Pernoctaciones,10325261,2000,12,Diciembre
Total,,Pernoctaciones,11871141,2000,11,Noviembre
Total,,Pernoctaciones,20400125,2000,10,Octubre
Total,,Pernoctaciones,26175432,2000,9,Septiembre
Total,,Pernoctaciones,31282474,2000,8,Agosto
Total,,Pernoctaciones,28181545,2000,7,Julio
Total,,Pernoctaciones,24084087,2000,6,Junio
Total,,Pernoctaciones,20998662,2000,5,Mayo
Total,,Pernoctaciones,18006005,2000,4,Abril
Total,,Pernoctaciones,14537790,2000,3,Marzo
Total,,Pernoctaciones,11453033,2000,2,Febrero
Total,,Pernoctaciones,9828017,2000,1,Enero
Total,,Pernoctaciones,10189931,1999,12,Diciembre
Total,,Pernoctaciones,11875758,1999,11,Noviembre
Total,,Pernoctaciones,21402806,1999,10,Octubre
Total,,Pernoctaciones,26750512,1999,9,Septiembre
Total,,Pernoctaciones,31967269,1999,8,Agosto
Total,,Pernoctaciones,28531434,1999,7,Julio
Total,,Pernoctaciones,24313223,1999,6,Junio
Total,,Pernoctaciones,21966528,1999,5,Mayo
Total,,Pernoctaciones,17472798,1999,4,Abril
Total,,Pernoctaciones,14212113,1999,3,Marzo
Total,,Pernoctaciones,11451100,1999,2,Febrero
Total,,Pernoctaciones,10406167,1999,1,Enero
Total,Residentes en España,Viajero,4547495,2025,4,Abril
Total,Residentes en España,Viajero,3780529,2025,3,Marzo
Total,Residentes en España,Viajero,3419893,2025,2,Febrero
Total,Residentes en España,Viajero,2919287,2025,1,Enero
Total,Residentes en España,Viajero,3649144,2024,12,Diciembre
Total,Residentes en España,Viajero,3764839,2024,11,Noviembre
Total,Residentes en España,Viajero,4524933,2024,10,Octubre
Total,Residentes en España,Viajero,5009311,2024,9,Septiembre
Total,Residentes en España,Viajero,6356384,2024,8,Agosto
Total,Residentes en España,Viajero,5748404,2024,7,Julio
Total,Residentes en España,Viajero,5399073,2024,6,Junio
Total,Residentes en España,Viajero,4926356,2024,5,Mayo
Total,Residentes en España,Viajero,4181084,2024,4,Abril
Total,Residentes en España,Viajero,4412670,2024,3,Marzo
Total,Residentes en España,Viajero,3422317,2024,2,Febrero
Total,Residentes en España,Viajero,2919329,2024,1,Enero
Total,Residentes en España,Viajero,3736128,2023,12,Diciembre
Total,Residentes en España,Viajero,3586759,2023,11,Noviembre
Total,Residentes en España,Viajero,4589155,2023,10,Octubre
Total,Residentes en España,Viajero,5122862,2023,9,Septiembre
Total,Residentes en España,Viajero,6381789,2023,8,Agosto
Total,Residentes en España,Viajero,6012479,2023,7,Julio
Total,Residentes en España,Viajero,5455490,2023,6,Junio
Total,Residentes en España,Viajero,4553381,2023,5,Mayo
Total,Residentes en España,Viajero,4983861,2023,4,Abril
Total,Residentes en España,Viajero,3983218,2023,3,Marzo
Total,Residentes en España,Viajero,3337995,2023,2,Febrero
Total,Residentes en España,Viajero,2964949,2023,1,Enero
Total,Residentes en España,Viajero,3567132,2022,12,Diciembre
Total,Residentes en España,Viajero,3541109,2022,11,Noviembre
Total,Residentes en España,Viajero,4657750,2022,10,Octubre
Total,Residentes en España,Viajero,5178258,2022,9,Septiembre
Total,Residentes en España,Viajero,6526507,2022,8,Agosto
Total,Residentes en España,Viajero,6075062,2022,7,Julio
Total,Residentes en España,Viajero,5422886,2022,6,Junio
Total,Residentes en España,Viajero,4672236,2022,5,Mayo
Total,Residentes en España,Viajero,4733976,2022,4,Abril
Total,Residentes en España,Viajero,3432900,2022,3,Marzo
Total,Residentes en España,Viajero,3164177,2022,2,Febrero
Total,Residentes en España,Viajero,2342492,2022,1,Enero
Total,Residentes en España,Viajero,3164988,2021,12,Diciembre
Total,Residentes en España,Viajero,3218059,2021,11,Noviembre
Total,Residentes en España,Viajero,4590112,2021,10,Octubre
Total,Residentes en España,Viajero,4952050,2021,9,Septiembre
Total,Residentes en España,Viajero,6935006,2021,8,Agosto
Total,Residentes en España,Viajero,5772248,2021,7,Julio
Total,Residentes en España,Viajero,4179628,2021,6,Junio
Total,Residentes en España,Viajero,2580060,2021,5,Mayo
Total,Residentes en España,Viajero,1559023,2021,4,Abril
Total,Residentes en España,Viajero,1456708,2021,3,Marzo
Total,Residentes en España,Viajero,975226,2021,2,Febrero
Total,Residentes en España,Viajero,889575,2021,1,Enero
Total,Residentes en España,Viajero,1097429,2020,12,Diciembre
Total,Residentes en España,Viajero,925018,2020,11,Noviembre
Total,Residentes en España,Viajero,1917987,2020,10,Octubre
Total,Residentes en España,Viajero,2905879,2020,9,Septiembre
Total,Residentes en España,Viajero,4648568,2020,8,Agosto
Total,Residentes en España,Viajero,3271958,2020,7,Julio
Total,Residentes en España,Viajero,824393,2020,6,Junio
Total,Residentes en España,Viajero,84804,2020,5,Mayo
Total,Residentes en España,Viajero,,2020,4,Abril
Total,Residentes en España,Viajero,1455613,2020,3,Marzo
Total,Residentes en España,Viajero,3636463,2020,2,Febrero
Total,Residentes en España,Viajero,2926703,2020,1,Enero
Total,Residentes en España,Viajero,3577792,2019,12,Diciembre
Total,Residentes en España,Viajero,3585911,2019,11,Noviembre
Total,Residentes en España,Viajero,4321124,2019,10,Octubre
Total,Residentes en España,Viajero,4809515,2019,9,Septiembre
Total,Residentes en España,Viajero,6432729,2019,8,Agosto
Total,Residentes en España,Viajero,5669457,2019,7,Julio
Total,Residentes en España,Viajero,5183371,2019,6,Junio
Total,Residentes en España,Viajero,4578814,2019,5,Mayo
Total,Residentes en España,Viajero,4470668,2019,4,Abril
Total,Residentes en España,Viajero,4033782,2019,3,Marzo
Total,Residentes en España,Viajero,3315368,2019,2,Febrero
Total,Residentes en España,Viajero,2755656,2019,1,Enero
Total,Residentes en España,Viajero,3494108,2018,12,Diciembre
Total,Residentes en España,Viajero,3551431,2018,11,Noviembre
Total,Residentes en España,Viajero,4354922,2018,10,Octubre
Total,Residentes en España,Viajero,4840570,2018,9,Septiembre
Total,Residentes en España,Viajero,6181557,2018,8,Agosto
Total,Residentes en España,Viajero,5380698,2018,7,Julio
Total,Residentes en España,Viajero,4868754,2018,6,Junio
Total,Residentes en España,Viajero,4250360,2018,5,Mayo
Total,Residentes en España,Viajero,4154873,2018,4,Abril
Total,Residentes en España,Viajero,4136756,2018,3,Marzo
Total,Residentes en España,Viajero,3208522,2018,2,Febrero
Total,Residentes en España,Viajero,2743159,2018,1,Enero
Total,Residentes en España,Viajero,3461708,2017,12,Diciembre
Total,Residentes en España,Viajero,3340928,2017,11,Noviembre
Total,Residentes en España,Viajero,4302582,2017,10,Octubre
Total,Residentes en España,Viajero,4762659,2017,9,Septiembre
Total,Residentes en España,Viajero,5970747,2017,8,Agosto
Total,Residentes en España,Viajero,5453609,2017,7,Julio
Total,Residentes en España,Viajero,4785681,2017,6,Junio
Total,Residentes en España,Viajero,4177945,2017,5,Mayo
Total,Residentes en España,Viajero,4688384,2017,4,Abril
Total,Residentes en España,Viajero,3706176,2017,3,Marzo
Total,Residentes en España,Viajero,3157734,2017,2,Febrero
Total,Residentes en España,Viajero,2655015,2017,1,Enero
Total,Residentes en España,Viajero,3231853,2016,12,Diciembre
Total,Residentes en España,Viajero,3186298,2016,11,Noviembre
Total,Residentes en España,Viajero,4358634,2016,10,Octubre
Total,Residentes en España,Viajero,4672782,2016,9,Septiembre
Total,Residentes en España,Viajero,5993466,2016,8,Agosto
Total,Residentes en España,Viajero,5504356,2016,7,Julio
Total,Residentes en España,Viajero,4723090,2016,6,Junio
Total,Residentes en España,Viajero,4197064,2016,5,Mayo
Total,Residentes en España,Viajero,3755761,2016,4,Abril
Total,Residentes en España,Viajero,4110169,2016,3,Marzo
Total,Residentes en España,Viajero,3191750,2016,2,Febrero
Total,Residentes en España,Viajero,2618022,2016,1,Enero
Total,Residentes en España,Viajero,3220404,2015,12,Diciembre
Total,Residentes en España,Viajero,3055877,2015,11,Noviembre
Total,Residentes en España,Viajero,4137843,2015,10,Octubre
Total,Residentes en España,Viajero,4504038,2015,9,Septiembre
Total,Residentes en España,Viajero,5945162,2015,8,Agosto
Total,Residentes en España,Viajero,5175659,2015,7,Julio
Total,Residentes en España,Viajero,4587906,2015,6,Junio
Total,Residentes en España,Viajero,4102767,2015,5,Mayo
Total,Residentes en España,Viajero,4031142,2015,4,Abril
Total,Residentes en España,Viajero,3490443,2015,3,Marzo
Total,Residentes en España,Viajero,2878965,2015,2,Febrero
Total,Residentes en España,Viajero,2393392,2015,1,Enero
Total,Residentes en España,Viajero,3062373,2014,12,Diciembre
Total,Residentes en España,Viajero,2962597,2014,11,Noviembre
Total,Residentes en España,Viajero,3801189,2014,10,Octubre
Total,Residentes en España,Viajero,4271468,2014,9,Septiembre
Total,Residentes en España,Viajero,5684286,2014,8,Agosto
Total,Residentes en España,Viajero,4798578,2014,7,Julio
Total,Residentes en España,Viajero,4270431,2014,6,Junio
Total,Residentes en España,Viajero,3901968,2014,5,Mayo
Total,Residentes en España,Viajero,3840663,2014,4,Abril
Total,Residentes en España,Viajero,3161425,2014,3,Marzo
Total,Residentes en España,Viajero,2739686,2014,2,Febrero
Total,Residentes en España,Viajero,2188084,2014,1,Enero
Total,Residentes en España,Viajero,2830104,2013,12,Diciembre
Total,Residentes en España,Viajero,2962040,2013,11,Noviembre
Total,Residentes en España,Viajero,3529310,2013,10,Octubre
Total,Residentes en España,Viajero,4055351,2013,9,Septiembre
Total,Residentes en España,Viajero,5426618,2013,8,Agosto
Total,Residentes en España,Viajero,4622498,2013,7,Julio
Total,Residentes en España,Viajero,4109160,2013,6,Junio
Total,Residentes en España,Viajero,3678011,2013,5,Mayo
Total,Residentes en España,Viajero,3107991,2013,4,Abril
Total,Residentes en España,Viajero,3596941,2013,3,Marzo
Total,Residentes en España,Viajero,2543898,2013,2,Febrero
Total,Residentes en España,Viajero,2107452,2013,1,Enero
Total,Residentes en España,Viajero,2644571,2012,12,Diciembre
Total,Residentes en España,Viajero,2730498,2012,11,Noviembre
Total,Residentes en España,Viajero,3551117,2012,10,Octubre
Total,Residentes en España,Viajero,4020495,2012,9,Septiembre
Total,Residentes en España,Viajero,5213797,2012,8,Agosto
Total,Residentes en España,Viajero,4578014,2012,7,Julio
Total,Residentes en España,Viajero,4164269,2012,6,Junio
Total,Residentes en España,Viajero,3610640,2012,5,Mayo
Total,Residentes en España,Viajero,3877984,2012,4,Abril
Total,Residentes en España,Viajero,3344772,2012,3,Marzo
Total,Residentes en España,Viajero,2898921,2012,2,Febrero
Total,Residentes en España,Viajero,2390674,2012,1,Enero
Total,Residentes en España,Viajero,2893004,2011,12,Diciembre
Total,Residentes en España,Viajero,2891744,2011,11,Noviembre
Total,Residentes en España,Viajero,3909150,2011,10,Octubre
Total,Residentes en España,Viajero,4424189,2011,9,Septiembre
Total,Residentes en España,Viajero,5615032,2011,8,Agosto
Total,Residentes en España,Viajero,5093546,2011,7,Julio
Total,Residentes en España,Viajero,4430197,2011,6,Junio
Total,Residentes en España,Viajero,3746751,2011,5,Mayo
Total,Residentes en España,Viajero,4088344,2011,4,Abril
Total,Residentes en España,Viajero,3380332,2011,3,Marzo
Total,Residentes en España,Viajero,2994483,2011,2,Febrero
Total,Residentes en España,Viajero,2358110,2011,1,Enero
Total,Residentes en España,Viajero,3000911,2010,12,Diciembre
Total,Residentes en España,Viajero,2990886,2010,11,Noviembre
Total,Residentes en España,Viajero,4186876,2010,10,Octubre
Total,Residentes en España,Viajero,4307901,2010,9,Septiembre
Total,Residentes en España,Viajero,5599468,2010,8,Agosto
Total,Residentes en España,Viajero,5002604,2010,7,Julio
Total,Residentes en España,Viajero,4386962,2010,6,Junio
Total,Residentes en España,Viajero,4042148,2010,5,Mayo
Total,Residentes en España,Viajero,3877568,2010,4,Abril
Total,Residentes en España,Viajero,3543609,2010,3,Marzo
Total,Residentes en España,Viajero,2943090,2010,2,Febrero
Total,Residentes en España,Viajero,2351307,2010,1,Enero
Total,Residentes en España,Viajero,2936381,2009,12,Diciembre
Total,Residentes en España,Viajero,2990558,2009,11,Noviembre
Total,Residentes en España,Viajero,3959267,2009,10,Octubre
Total,Residentes en España,Viajero,4277206,2009,9,Septiembre
Total,Residentes en España,Viajero,5563505,2009,8,Agosto
Total,Residentes en España,Viajero,4888672,2009,7,Julio
Total,Residentes en España,Viajero,4188954,2009,6,Junio
Total,Residentes en España,Viajero,3939334,2009,5,Mayo
Total,Residentes en España,Viajero,3878166,2009,4,Abril
Total,Residentes en España,Viajero,3292594,2009,3,Marzo
Total,Residentes en España,Viajero,2892445,2009,2,Febrero
Total,Residentes en España,Viajero,2331000,2009,1,Enero
Total,Residentes en España,Viajero,2829046,2008,12,Diciembre
Total,Residentes en España,Viajero,3072911,2008,11,Noviembre
Total,Residentes en España,Viajero,3839709,2008,10,Octubre
Total,Residentes en España,Viajero,4425435,2008,9,Septiembre
Total,Residentes en España,Viajero,5584157,2008,8,Agosto
Total,Residentes en España,Viajero,4977811,2008,7,Julio
Total,Residentes en España,Viajero,4443768,2008,6,Junio
Total,Residentes en España,Viajero,4226211,2008,5,Mayo
Total,Residentes en España,Viajero,3744345,2008,4,Abril
Total,Residentes en España,Viajero,4097905,2008,3,Marzo
Total,Residentes en España,Viajero,3326713,2008,2,Febrero
Total,Residentes en España,Viajero,2673147,2008,1,Enero
Total,Residentes en España,Viajero,3064815,2007,12,Diciembre
Total,Residentes en España,Viajero,3502020,2007,11,Noviembre
Total,Residentes en España,Viajero,4224929,2007,10,Octubre
Total,Residentes en España,Viajero,4604220,2007,9,Septiembre
Total,Residentes en España,Viajero,5654061,2007,8,Agosto
Total,Residentes en España,Viajero,5003539,2007,7,Julio
Total,Residentes en España,Viajero,4658070,2007,6,Junio
Total,Residentes en España,Viajero,4015617,2007,5,Mayo
Total,Residentes en España,Viajero,4450863,2007,4,Abril
Total,Residentes en España,Viajero,3769341,2007,3,Marzo
Total,Residentes en España,Viajero,3088894,2007,2,Febrero
Total,Residentes en España,Viajero,2604319,2007,1,Enero
Total,Residentes en España,Viajero,3125022,2006,12,Diciembre
Total,Residentes en España,Viajero,3254904,2006,11,Noviembre
Total,Residentes en España,Viajero,4146937,2006,10,Octubre
Total,Residentes en España,Viajero,4563672,2006,9,Septiembre
Total,Residentes en España,Viajero,5553617,2006,8,Agosto
Total,Residentes en España,Viajero,4941982,2006,7,Julio
Total,Residentes en España,Viajero,4371721,2006,6,Junio
Total,Residentes en España,Viajero,3947962,2006,5,Mayo
Total,Residentes en España,Viajero,4390094,2006,4,Abril
Total,Residentes en España,Viajero,3553339,2006,3,Marzo
Total,Residentes en España,Viajero,3043034,2006,2,Febrero
Total,Residentes en España,Viajero,2551856,2006,1,Enero
Total,Residentes en España,Viajero,2702235,2005,12,Diciembre
Total,Residentes en España,Viajero,2898398,2005,11,Noviembre
Total,Residentes en España,Viajero,3628419,2005,10,Octubre
Total,Residentes en España,Viajero,4038043,2005,9,Septiembre
Total,Residentes en España,Viajero,4985733,2005,8,Agosto
Total,Residentes en España,Viajero,4366698,2005,7,Julio
Total,Residentes en España,Viajero,3865747,2005,6,Junio
Total,Residentes en España,Viajero,3646228,2005,5,Mayo
Total,Residentes en España,Viajero,3316778,2005,4,Abril
Total,Residentes en España,Viajero,3391717,2005,3,Marzo
Total,Residentes en España,Viajero,2621061,2005,2,Febrero
Total,Residentes en España,Viajero,2139281,2005,1,Enero
Total,Residentes en España,Viajero,2654019,2004,12,Diciembre
Total,Residentes en España,Viajero,2670646,2004,11,Noviembre
Total,Residentes en España,Viajero,3563172,2004,10,Octubre
Total,Residentes en España,Viajero,3866299,2004,9,Septiembre
Total,Residentes en España,Viajero,4762452,2004,8,Agosto
Total,Residentes en España,Viajero,4051344,2004,7,Julio
Total,Residentes en España,Viajero,3650036,2004,6,Junio
Total,Residentes en España,Viajero,3232971,2004,5,Mayo
Total,Residentes en España,Viajero,3310414,2004,4,Abril
Total,Residentes en España,Viajero,2886872,2004,3,Marzo
Total,Residentes en España,Viajero,2548353,2004,2,Febrero
Total,Residentes en España,Viajero,2014826,2004,1,Enero
Total,Residentes en España,Viajero,2381098,2003,12,Diciembre
Total,Residentes en España,Viajero,2478930,2003,11,Noviembre
Total,Residentes en España,Viajero,2961468,2003,10,Octubre
Total,Residentes en España,Viajero,3508436,2003,9,Septiembre
Total,Residentes en España,Viajero,4321876,2003,8,Agosto
Total,Residentes en España,Viajero,3604009,2003,7,Julio
Total,Residentes en España,Viajero,3268531,2003,6,Junio
Total,Residentes en España,Viajero,2987830,2003,5,Mayo
Total,Residentes en España,Viajero,3096315,2003,4,Abril
Total,Residentes en España,Viajero,2621941,2003,3,Marzo
Total,Residentes en España,Viajero,2185902,2003,2,Febrero
Total,Residentes en España,Viajero,1866434,2003,1,Enero
Total,Residentes en España,Viajero,2239496,2002,12,Diciembre
Total,Residentes en España,Viajero,2363666,2002,11,Noviembre
Total,Residentes en España,Viajero,2841697,2002,10,Octubre
Total,Residentes en España,Viajero,3206586,2002,9,Septiembre
Total,Residentes en España,Viajero,4093306,2002,8,Agosto
Total,Residentes en España,Viajero,3326284,2002,7,Julio
Total,Residentes en España,Viajero,2909167,2002,6,Junio
Total,Residentes en España,Viajero,2800938,2002,5,Mayo
Total,Residentes en España,Viajero,2626016,2002,4,Abril
Total,Residentes en España,Viajero,2863303,2002,3,Marzo
Total,Residentes en España,Viajero,2163645,2002,2,Febrero
Total,Residentes en España,Viajero,1824018,2002,1,Enero
Total,Residentes en España,Viajero,2104053,2001,12,Diciembre
Total,Residentes en España,Viajero,2336166,2001,11,Noviembre
Total,Residentes en España,Viajero,2859626,2001,10,Octubre
Total,Residentes en España,Viajero,3223605,2001,9,Septiembre
Total,Residentes en España,Viajero,3917546,2001,8,Agosto
Total,Residentes en España,Viajero,3244732,2001,7,Julio
Total,Residentes en España,Viajero,2946672,2001,6,Junio
Total,Residentes en España,Viajero,2664737,2001,5,Mayo
Total,Residentes en España,Viajero,3020317,2001,4,Abril
Total,Residentes en España,Viajero,2519243,2001,3,Marzo
Total,Residentes en España,Viajero,2179135,2001,2,Febrero
Total,Residentes en España,Viajero,1876469,2001,1,Enero
Total,Residentes en España,Viajero,2176222,2000,12,Diciembre
Total,Residentes en España,Viajero,2283268,2000,11,Noviembre
Total,Residentes en España,Viajero,2798565,2000,10,Octubre
Total,Residentes en España,Viajero,3188546,2000,9,Septiembre
Total,Residentes en España,Viajero,3805934,2000,8,Agosto
Total,Residentes en España,Viajero,3187268,2000,7,Julio
Total,Residentes en España,Viajero,2853802,2000,6,Junio
Total,Residentes en España,Viajero,2656249,2000,5,Mayo
Total,Residentes en España,Viajero,2941255,2000,4,Abril
Total,Residentes en España,Viajero,2405046,2000,3,Marzo
Total,Residentes en España,Viajero,2098381,2000,2,Febrero
Total,Residentes en España,Viajero,1738456,2000,1,Enero
Total,Residentes en España,Viajero,2130796,1999,12,Diciembre
Total,Residentes en España,Viajero,2132074,1999,11,Noviembre
Total,Residentes en España,Viajero,2844631,1999,10,Octubre
Total,Residentes en España,Viajero,3220763,1999,9,Septiembre
Total,Residentes en España,Viajero,3753975,1999,8,Agosto
Total,Residentes en España,Viajero,3300631,1999,7,Julio
Total,Residentes en España,Viajero,2829189,1999,6,Junio
Total,Residentes en España,Viajero,2708247,1999,5,Mayo
Total,Residentes en España,Viajero,2738154,1999,4,Abril
Total,Residentes en España,Viajero,2462481,1999,3,Marzo
Total,Residentes en España,Viajero,1971767,1999,2,Febrero
Total,Residentes en España,Viajero,1696976,1999,1,Enero
Total,Residentes en España,Pernoctaciones,10041970,2025,4,Abril
Total,Residentes en España,Pernoctaciones,8016309,2025,3,Marzo
