RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,,Pernoctaciones,30898617,2017,10,Octubre
Total,,Pernoctaciones,37961599,2017,9,Septiembre
Total,,Pernoctaciones,46657187,2017,8,Agosto
Total,,Pernoctaciones,43624461,2017,7,Julio
Total,,Pernoctaciones,36646402,2017,6,Junio
Total,,Pernoctaciones,31439920,2017,5,Mayo
Total,,Pernoctaciones,27549426,2017,4,Abril
Total,,Pernoctaciones,20508641,2017,3,Marzo
Total,,Pernoctaciones,16346534,2017,2,Febrero
Total,,Pernoctaciones,15200690,2017,1,Enero
Total,,Pernoctaciones,16013165,2016,12,Diciembre
Total,,Pernoctaciones,17134705,2016,11,Noviembre
Total,,Pernoctaciones,30587997,2016,10,Octubre
Total,,Pernoctaciones,37218422,2016,9,Septiembre
Total,,Pernoctaciones,46502956,2016,8,Agosto
Total,,Pernoctaciones,42948946,2016,7,Julio
Total,,Pernoctaciones,34430872,2016,6,Junio
Total,,Pernoctaciones,30401275,2016,5,Mayo
Total,,Pernoctaciones,23056973,2016,4,Abril
Total,,Pernoctaciones,22022933,2016,3,Marzo
Total,,Pernoctaciones,16379849,2016,2,Febrero
Total,,Pernoctaciones,14470851,2016,1,Enero
Total,,Pernoctaciones,15043365,2015,12,Diciembre
Total,,Pernoctaciones,15862738,2015,11,Noviembre
Total,,Pernoctaciones,28073790,2015,10,Octubre
Total,,Pernoctaciones,34918861,2015,9,Septiembre
Total,,Pernoctaciones,44813404,2015,8,Agosto
Total,,Pernoctaciones,39850064,2015,7,Julio
Total,,Pernoctaciones,32092513,2015,6,Junio
Total,,Pernoctaciones,28041622,2015,5,Mayo
Total,,Pernoctaciones,23087381,2015,4,Abril
Total,,Pernoctaciones,18596568,2015,3,Marzo
Total,,Pernoctaciones,14513335,2015,2,Febrero
Total,,Pernoctaciones,13342087,2015,1,Enero
Total,,Pernoctaciones,14041916,2014,12,Diciembre
Total,,Pernoctaciones,15113125,2014,11,Noviembre
Total,,Pernoctaciones,26243441,2014,10,Octubre
Total,,Pernoctaciones,33858937,2014,9,Septiembre
