Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M08;1,78
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M07;2,59
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M06;1,75
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M05;2,34
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M04;1,11
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M03;1,91
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M02;1,67
Total Nacional;07 Balears, Illes;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M01;0,35
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2025M03;34,32
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2025M02;40,78
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2025M01;36,16
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M12;55,40
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M11;39,93
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M10;37,48
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M09;33,91
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M08;29,26
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M07;33,09
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M06;29,34
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M05;34,09
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M04;39,93
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M03;41,72
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M02;36,96
Total Nacional;07 Balears, Illes;Total Nacional;04 Balears, Illes;Viajero;2024M01;38,59
