RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Bélgica;Viajero;2002M01;30.689
Total;Bélgica;Viajero;2001M12;28.779
Total;Bélgica;Viajero;2001M11;37.594
Total;Bélgica;Viajero;2001M10;81.272
Total;Bélgica;Viajero;2001M09;104.110
Total;Bélgica;Viajero;2001M08;118.955
Total;Bélgica;Viajero;2001M07;149.592
Total;Bélgica;Viajero;2001M06;95.864
Total;Bélgica;Viajero;2001M05;98.443
Total;Bélgica;Viajero;2001M04;79.724
Total;Bélgica;Viajero;2001M03;51.103
Total;Bélgica;Viajero;2001M02;35.579
Total;Bélgica;Viajero;2001M01;30.643
Total;Bélgica;Viajero;2000M12;35.012
Total;Bélgica;Viajero;2000M11;41.752
Total;Bélgica;Viajero;2000M10;78.113
Total;Bélgica;Viajero;2000M09;108.005
Total;Bélgica;Viajero;2000M08;123.599
Total;Bélgica;Viajero;2000M07;157.749
Total;Bélgica;Viajero;2000M06;97.998
Total;Bélgica;Viajero;2000M05;93.628
Total;Bélgica;Viajero;2000M04;92.853
Total;Bélgica;Viajero;2000M03;57.587
Total;Bélgica;Viajero;2000M02;34.828
Total;Bélgica;Viajero;2000M01;32.285
Total;Bélgica;Viajero;1999M12;32.852
Total;Bélgica;Viajero;1999M11;54.889
Total;Bélgica;Viajero;1999M10;89.826
Total;Bélgica;Viajero;1999M09;115.981
Total;Bélgica;Viajero;1999M08;125.853
Total;Bélgica;Viajero;1999M07;174.456
Total;Bélgica;Viajero;1999M06;100.444
Total;Bélgica;Viajero;1999M05;105.163
Total;Bélgica;Viajero;1999M04;95.551
Total;Bélgica;Viajero;1999M03;54.414
Total;Bélgica;Viajero;1999M02;45.155
Total;Bélgica;Viajero;1999M01;36.243
Total;Bélgica;Pernoctaciones;2025M04;550.379
Total;Bélgica;Pernoctaciones;2025M03;437.026
Total;Bélgica;Pernoctaciones;2025M02;338.716
Total;Bélgica;Pernoctaciones;2025M01;291.696
Total;Bélgica;Pernoctaciones;2024M12;352.995
Total;Bélgica;Pernoctaciones;2024M11;356.764
Total;Bélgica;Pernoctaciones;2024M10;679.326
Total;Bélgica;Pernoctaciones;2024M09;775.670
Total;Bélgica;Pernoctaciones;2024M08;792.295
Total;Bélgica;Pernoctaciones;2024M07;1.022.998
Total;Bélgica;Pernoctaciones;2024M06;592.177
Total;Bélgica;Pernoctaciones;2024M05;677.487
Total;Bélgica;Pernoctaciones;2024M04;567.835
Total;Bélgica;Pernoctaciones;2024M03;397.927
Total;Bélgica;Pernoctaciones;2024M02;337.289
Total;Bélgica;Pernoctaciones;2024M01;299.887
Total;Bélgica;Pernoctaciones;2023M12;325.506
Total;Bélgica;Pernoctaciones;2023M11;357.727
Total;Bélgica;Pernoctaciones;2023M10;582.917
Total;Bélgica;Pernoctaciones;2023M09;727.586
Total;Bélgica;Pernoctaciones;2023M08;724.555
Total;Bélgica;Pernoctaciones;2023M07;981.631
Total;Bélgica;Pernoctaciones;2023M06;522.825
Total;Bélgica;Pernoctaciones;2023M05;674.756
Total;Bélgica;Pernoctaciones;2023M04;475.320
Total;Bélgica;Pernoctaciones;2023M03;335.966
Total;Bélgica;Pernoctaciones;2023M02;311.754
Total;Bélgica;Pernoctaciones;2023M01;293.555
Total;Bélgica;Pernoctaciones;2022M12;285.934
Total;Bélgica;Pernoctaciones;2022M11;342.323
Total;Bélgica;Pernoctaciones;2022M10;533.996
Total;Bélgica;Pernoctaciones;2022M09;696.873
Total;Bélgica;Pernoctaciones;2022M08;683.468
Total;Bélgica;Pernoctaciones;2022M07;1.035.204
Total;Bélgica;Pernoctaciones;2022M06;544.104
Total;Bélgica;Pernoctaciones;2022M05;523.905
Total;Bélgica;Pernoctaciones;2022M04;500.566
Total;Bélgica;Pernoctaciones;2022M03;378.930
Total;Bélgica;Pernoctaciones;2022M02;284.967
Total;Bélgica;Pernoctaciones;2022M01;275.167
Total;Bélgica;Pernoctaciones;2021M12;287.721
Total;Bélgica;Pernoctaciones;2021M11;428.986
Total;Bélgica;Pernoctaciones;2021M10;501.839
Total;Bélgica;Pernoctaciones;2021M09;690.055
Total;Bélgica;Pernoctaciones;2021M08;556.426
Total;Bélgica;Pernoctaciones;2021M07;540.596
Total;Bélgica;Pernoctaciones;2021M06;233.723
Total;Bélgica;Pernoctaciones;2021M05;112.802
Total;Bélgica;Pernoctaciones;2021M04;32.849
Total;Bélgica;Pernoctaciones;2021M03;17.050
Total;Bélgica;Pernoctaciones;2021M02;11.980
Total;Bélgica;Pernoctaciones;2021M01;35.448
Total;Bélgica;Pernoctaciones;2020M12;58.537
Total;Bélgica;Pernoctaciones;2020M11;54.091
Total;Bélgica;Pernoctaciones;2020M10;58.651
Total;Bélgica;Pernoctaciones;2020M09;84.246
Total;Bélgica;Pernoctaciones;2020M08;221.157
Total;Bélgica;Pernoctaciones;2020M07;264.295
Total;Bélgica;Pernoctaciones;2020M06;.
Total;Bélgica;Pernoctaciones;2020M05;.
Total;Bélgica;Pernoctaciones;2020M04;0
Total;Bélgica;Pernoctaciones;2020M03;158.855
Total;Bélgica;Pernoctaciones;2020M02;323.427
Total;Bélgica;Pernoctaciones;2020M01;296.161
Total;Bélgica;Pernoctaciones;2019M12;309.081
Total;Bélgica;Pernoctaciones;2019M11;316.536
Total;Bélgica;Pernoctaciones;2019M10;544.885
Total;Bélgica;Pernoctaciones;2019M09;703.041
Total;Bélgica;Pernoctaciones;2019M08;696.188
Total;Bélgica;Pernoctaciones;2019M07;924.835
Total;Bélgica;Pernoctaciones;2019M06;620.360
Total;Bélgica;Pernoctaciones;2019M05;577.326
Total;Bélgica;Pernoctaciones;2019M04;523.349
Total;Bélgica;Pernoctaciones;2019M03;376.899
Total;Bélgica;Pernoctaciones;2019M02;290.979
Total;Bélgica;Pernoctaciones;2019M01;302.953
Total;Bélgica;Pernoctaciones;2018M12;315.551
Total;Bélgica;Pernoctaciones;2018M11;341.498
Total;Bélgica;Pernoctaciones;2018M10;579.989
Total;Bélgica;Pernoctaciones;2018M09;744.044
Total;Bélgica;Pernoctaciones;2018M08;730.250
Total;Bélgica;Pernoctaciones;2018M07;995.833
Total;Bélgica;Pernoctaciones;2018M06;602.687
Total;Bélgica;Pernoctaciones;2018M05;581.955
Total;Bélgica;Pernoctaciones;2018M04;552.821
Total;Bélgica;Pernoctaciones;2018M03;363.762
Total;Bélgica;Pernoctaciones;2018M02;349.347
Total;Bélgica;Pernoctaciones;2018M01;313.202
Total;Bélgica;Pernoctaciones;2017M12;296.293
Total;Bélgica;Pernoctaciones;2017M11;350.029
Total;Bélgica;Pernoctaciones;2017M10;562.132
Total;Bélgica;Pernoctaciones;2017M09;774.437
Total;Bélgica;Pernoctaciones;2017M08;788.011
Total;Bélgica;Pernoctaciones;2017M07;1.061.047
Total;Bélgica;Pernoctaciones;2017M06;617.834
Total;Bélgica;Pernoctaciones;2017M05;602.995
Total;Bélgica;Pernoctaciones;2017M04;532.579
Total;Bélgica;Pernoctaciones;2017M03;372.467
Total;Bélgica;Pernoctaciones;2017M02;315.493
Total;Bélgica;Pernoctaciones;2017M01;314.421
Total;Bélgica;Pernoctaciones;2016M12;292.936
Total;Bélgica;Pernoctaciones;2016M11;387.527
Total;Bélgica;Pernoctaciones;2016M10;553.845
Total;Bélgica;Pernoctaciones;2016M09;773.669
Total;Bélgica;Pernoctaciones;2016M08;842.412
Total;Bélgica;Pernoctaciones;2016M07;1.086.490
Total;Bélgica;Pernoctaciones;2016M06;610.748
Total;Bélgica;Pernoctaciones;2016M05;593.391
Total;Bélgica;Pernoctaciones;2016M04;451.424
Total;Bélgica;Pernoctaciones;2016M03;411.052
Total;Bélgica;Pernoctaciones;2016M02;326.000
Total;Bélgica;Pernoctaciones;2016M01;302.650
Total;Bélgica;Pernoctaciones;2015M12;303.565
Total;Bélgica;Pernoctaciones;2015M11;390.171
Total;Bélgica;Pernoctaciones;2015M10;483.594
Total;Bélgica;Pernoctaciones;2015M09;771.805
Total;Bélgica;Pernoctaciones;2015M08;816.688
Total;Bélgica;Pernoctaciones;2015M07;1.091.395
Total;Bélgica;Pernoctaciones;2015M06;621.748
Total;Bélgica;Pernoctaciones;2015M05;557.508
Total;Bélgica;Pernoctaciones;2015M04;523.690
Total;Bélgica;Pernoctaciones;2015M03;337.050
Total;Bélgica;Pernoctaciones;2015M02;302.875
Total;Bélgica;Pernoctaciones;2015M01;295.398
Total;Bélgica;Pernoctaciones;2014M12;281.914
Total;Bélgica;Pernoctaciones;2014M11;305.792
Total;Bélgica;Pernoctaciones;2014M10;530.607
Total;Bélgica;Pernoctaciones;2014M09;691.670
Total;Bélgica;Pernoctaciones;2014M08;779.809
Total;Bélgica;Pernoctaciones;2014M07;928.910
Total;Bélgica;Pernoctaciones;2014M06;567.881
Total;Bélgica;Pernoctaciones;2014M05;501.138
Total;Bélgica;Pernoctaciones;2014M04;466.355
Total;Bélgica;Pernoctaciones;2014M03;367.547
Total;Bélgica;Pernoctaciones;2014M02;289.402
Total;Bélgica;Pernoctaciones;2014M01;292.578
Total;Bélgica;Pernoctaciones;2013M12;278.182
Total;Bélgica;Pernoctaciones;2013M11;302.565
Total;Bélgica;Pernoctaciones;2013M10;489.829
Total;Bélgica;Pernoctaciones;2013M09;638.985
Total;Bélgica;Pernoctaciones;2013M08;731.001
Total;Bélgica;Pernoctaciones;2013M07;937.829
Total;Bélgica;Pernoctaciones;2013M06;585.066
Total;Bélgica;Pernoctaciones;2013M05;529.852
Total;Bélgica;Pernoctaciones;2013M04;450.270
Total;Bélgica;Pernoctaciones;2013M03;309.044
Total;Bélgica;Pernoctaciones;2013M02;298.399
Total;Bélgica;Pernoctaciones;2013M01;267.974
Total;Bélgica;Pernoctaciones;2012M12;252.635
Total;Bélgica;Pernoctaciones;2012M11;280.676
Total;Bélgica;Pernoctaciones;2012M10;433.592
Total;Bélgica;Pernoctaciones;2012M09;648.492
Total;Bélgica;Pernoctaciones;2012M08;685.133
Total;Bélgica;Pernoctaciones;2012M07;938.606
Total;Bélgica;Pernoctaciones;2012M06;553.972
Total;Bélgica;Pernoctaciones;2012M05;500.857
Total;Bélgica;Pernoctaciones;2012M04;407.178
Total;Bélgica;Pernoctaciones;2012M03;296.858
Total;Bélgica;Pernoctaciones;2012M02;282.575
Total;Bélgica;Pernoctaciones;2012M01;263.388
Total;Bélgica;Pernoctaciones;2011M12;233.000
Total;Bélgica;Pernoctaciones;2011M11;303.064
Total;Bélgica;Pernoctaciones;2011M10;405.316
Total;Bélgica;Pernoctaciones;2011M09;625.224
Total;Bélgica;Pernoctaciones;2011M08;668.589
Total;Bélgica;Pernoctaciones;2011M07;924.728
Total;Bélgica;Pernoctaciones;2011M06;501.367
Total;Bélgica;Pernoctaciones;2011M05;465.895
Total;Bélgica;Pernoctaciones;2011M04;436.887
Total;Bélgica;Pernoctaciones;2011M03;338.244
Total;Bélgica;Pernoctaciones;2011M02;275.847
Total;Bélgica;Pernoctaciones;2011M01;261.374
Total;Bélgica;Pernoctaciones;2010M12;216.308
Total;Bélgica;Pernoctaciones;2010M11;299.501
Total;Bélgica;Pernoctaciones;2010M10;359.396
Total;Bélgica;Pernoctaciones;2010M09;558.419
Total;Bélgica;Pernoctaciones;2010M08;622.510
Total;Bélgica;Pernoctaciones;2010M07;890.195
Total;Bélgica;Pernoctaciones;2010M06;454.850
Total;Bélgica;Pernoctaciones;2010M05;431.501
Total;Bélgica;Pernoctaciones;2010M04;388.260
Total;Bélgica;Pernoctaciones;2010M03;242.962
Total;Bélgica;Pernoctaciones;2010M02;238.333
Total;Bélgica;Pernoctaciones;2010M01;229.712
Total;Bélgica;Pernoctaciones;2009M12;222.921
Total;Bélgica;Pernoctaciones;2009M11;265.117
Total;Bélgica;Pernoctaciones;2009M10;345.355
Total;Bélgica;Pernoctaciones;2009M09;566.055
Total;Bélgica;Pernoctaciones;2009M08;685.303
Total;Bélgica;Pernoctaciones;2009M07;910.628
Total;Bélgica;Pernoctaciones;2009M06;498.478
Total;Bélgica;Pernoctaciones;2009M05;444.744
Total;Bélgica;Pernoctaciones;2009M04;394.911
Total;Bélgica;Pernoctaciones;2009M03;263.430
Total;Bélgica;Pernoctaciones;2009M02;208.597
Total;Bélgica;Pernoctaciones;2009M01;217.073
Total;Bélgica;Pernoctaciones;2008M12;218.120
Total;Bélgica;Pernoctaciones;2008M11;226.574
Total;Bélgica;Pernoctaciones;2008M10;416.245
Total;Bélgica;Pernoctaciones;2008M09;558.080
Total;Bélgica;Pernoctaciones;2008M08;683.715
Total;Bélgica;Pernoctaciones;2008M07;828.702
Total;Bélgica;Pernoctaciones;2008M06;511.839
Total;Bélgica;Pernoctaciones;2008M05;467.887
Total;Bélgica;Pernoctaciones;2008M04;314.962
Total;Bélgica;Pernoctaciones;2008M03;306.190
Total;Bélgica;Pernoctaciones;2008M02;262.148
Total;Bélgica;Pernoctaciones;2008M01;243.936
Total;Bélgica;Pernoctaciones;2007M12;242.335
Total;Bélgica;Pernoctaciones;2007M11;234.041
Total;Bélgica;Pernoctaciones;2007M10;420.148
Total;Bélgica;Pernoctaciones;2007M09;526.848
Total;Bélgica;Pernoctaciones;2007M08;668.531
Total;Bélgica;Pernoctaciones;2007M07;847.233
Total;Bélgica;Pernoctaciones;2007M06;492.874
Total;Bélgica;Pernoctaciones;2007M05;465.808
Total;Bélgica;Pernoctaciones;2007M04;407.827
Total;Bélgica;Pernoctaciones;2007M03;260.662
Total;Bélgica;Pernoctaciones;2007M02;225.421
Total;Bélgica;Pernoctaciones;2007M01;242.278
Total;Bélgica;Pernoctaciones;2006M12;224.239
Total;Bélgica;Pernoctaciones;2006M11;242.090
Total;Bélgica;Pernoctaciones;2006M10;420.547
Total;Bélgica;Pernoctaciones;2006M09;579.073
Total;Bélgica;Pernoctaciones;2006M08;729.011
Total;Bélgica;Pernoctaciones;2006M07;929.453
Total;Bélgica;Pernoctaciones;2006M06;545.835
Total;Bélgica;Pernoctaciones;2006M05;506.736
Total;Bélgica;Pernoctaciones;2006M04;434.352
Total;Bélgica;Pernoctaciones;2006M03;270.402
Total;Bélgica;Pernoctaciones;2006M02;230.016
Total;Bélgica;Pernoctaciones;2006M01;245.902
Total;Bélgica;Pernoctaciones;2005M12;180.167
Total;Bélgica;Pernoctaciones;2005M11;245.485
Total;Bélgica;Pernoctaciones;2005M10;396.545
Total;Bélgica;Pernoctaciones;2005M09;540.542
Total;Bélgica;Pernoctaciones;2005M08;603.914
Total;Bélgica;Pernoctaciones;2005M07;816.091
Total;Bélgica;Pernoctaciones;2005M06;493.434
Total;Bélgica;Pernoctaciones;2005M05;437.658
Total;Bélgica;Pernoctaciones;2005M04;321.732
Total;Bélgica;Pernoctaciones;2005M03;241.466
Total;Bélgica;Pernoctaciones;2005M02;232.868
Total;Bélgica;Pernoctaciones;2005M01;247.732
Total;Bélgica;Pernoctaciones;2004M12;178.347
Total;Bélgica;Pernoctaciones;2004M11;219.750
Total;Bélgica;Pernoctaciones;2004M10;384.867
Total;Bélgica;Pernoctaciones;2004M09;591.056
Total;Bélgica;Pernoctaciones;2004M08;679.330
Total;Bélgica;Pernoctaciones;2004M07;911.114
Total;Bélgica;Pernoctaciones;2004M06;511.571
Total;Bélgica;Pernoctaciones;2004M05;505.015
Total;Bélgica;Pernoctaciones;2004M04;391.480
Total;Bélgica;Pernoctaciones;2004M03;263.631
Total;Bélgica;Pernoctaciones;2004M02;261.478
Total;Bélgica;Pernoctaciones;2004M01;217.669
Total;Bélgica;Pernoctaciones;2003M12;169.488
Total;Bélgica;Pernoctaciones;2003M11;184.223
Total;Bélgica;Pernoctaciones;2003M10;452.509
Total;Bélgica;Pernoctaciones;2003M09;625.776
Total;Bélgica;Pernoctaciones;2003M08;820.113
Total;Bélgica;Pernoctaciones;2003M07;971.552
Total;Bélgica;Pernoctaciones;2003M06;671.017
Total;Bélgica;Pernoctaciones;2003M05;536.583
Total;Bélgica;Pernoctaciones;2003M04;431.071
Total;Bélgica;Pernoctaciones;2003M03;306.668
Total;Bélgica;Pernoctaciones;2003M02;230.920
Total;Bélgica;Pernoctaciones;2003M01;215.363
Total;Bélgica;Pernoctaciones;2002M12;194.013
Total;Bélgica;Pernoctaciones;2002M11;199.763
Total;Bélgica;Pernoctaciones;2002M10;494.993
Total;Bélgica;Pernoctaciones;2002M09;634.635
Total;Bélgica;Pernoctaciones;2002M08;777.893
Total;Bélgica;Pernoctaciones;2002M07;953.678
Total;Bélgica;Pernoctaciones;2002M06;579.593
Total;Bélgica;Pernoctaciones;2002M05;539.205
Total;Bélgica;Pernoctaciones;2002M04;396.232
Total;Bélgica;Pernoctaciones;2002M03;289.340
Total;Bélgica;Pernoctaciones;2002M02;262.833
Total;Bélgica;Pernoctaciones;2002M01;211.201
Total;Bélgica;Pernoctaciones;2001M12;200.422
Total;Bélgica;Pernoctaciones;2001M11;210.272
Total;Bélgica;Pernoctaciones;2001M10;486.717
Total;Bélgica;Pernoctaciones;2001M09;647.864
Total;Bélgica;Pernoctaciones;2001M08;806.905
Total;Bélgica;Pernoctaciones;2001M07;1.030.360
Total;Bélgica;Pernoctaciones;2001M06;604.621
Total;Bélgica;Pernoctaciones;2001M05;578.964
Total;Bélgica;Pernoctaciones;2001M04;401.745
Total;Bélgica;Pernoctaciones;2001M03;313.771
Total;Bélgica;Pernoctaciones;2001M02;235.261
Total;Bélgica;Pernoctaciones;2001M01;212.790
Total;Bélgica;Pernoctaciones;2000M12;227.428
Total;Bélgica;Pernoctaciones;2000M11;266.511
Total;Bélgica;Pernoctaciones;2000M10;515.057
Total;Bélgica;Pernoctaciones;2000M09;683.365
Total;Bélgica;Pernoctaciones;2000M08;868.081
Total;Bélgica;Pernoctaciones;2000M07;1.092.643
Total;Bélgica;Pernoctaciones;2000M06;648.024
Total;Bélgica;Pernoctaciones;2000M05;599.798
Total;Bélgica;Pernoctaciones;2000M04;516.461
Total;Bélgica;Pernoctaciones;2000M03;365.301
Total;Bélgica;Pernoctaciones;2000M02;259.346
Total;Bélgica;Pernoctaciones;2000M01;230.101
Total;Bélgica;Pernoctaciones;1999M12;224.115
Total;Bélgica;Pernoctaciones;1999M11;346.860
Total;Bélgica;Pernoctaciones;1999M10;547.277
Total;Bélgica;Pernoctaciones;1999M09;730.096
Total;Bélgica;Pernoctaciones;1999M08;926.938
Total;Bélgica;Pernoctaciones;1999M07;1.195.562
Total;Bélgica;Pernoctaciones;1999M06;663.064
Total;Bélgica;Pernoctaciones;1999M05;677.505
Total;Bélgica;Pernoctaciones;1999M04;512.765
Total;Bélgica;Pernoctaciones;1999M03;349.907
Total;Bélgica;Pernoctaciones;1999M02;310.181
Total;Bélgica;Pernoctaciones;1999M01;282.904
Total;Dinamarca;Viajero;2025M04;50.898
Total;Dinamarca;Viajero;2025M03;49.559
Total;Dinamarca;Viajero;2025M02;45.503
Total;Dinamarca;Viajero;2025M01;36.433
Total;Dinamarca;Viajero;2024M12;30.178
Total;Dinamarca;Viajero;2024M11;41.752
Total;Dinamarca;Viajero;2024M10;68.122
Total;Dinamarca;Viajero;2024M09;61.702
Total;Dinamarca;Viajero;2024M08;46.627
Total;Dinamarca;Viajero;2024M07;85.252
Total;Dinamarca;Viajero;2024M06;44.022
Total;Dinamarca;Viajero;2024M05;54.276
Total;Dinamarca;Viajero;2024M04;48.251
Total;Dinamarca;Viajero;2024M03;59.173
Total;Dinamarca;Viajero;2024M02;43.789
Total;Dinamarca;Viajero;2024M01;37.190
Total;Dinamarca;Viajero;2023M12;32.715
Total;Dinamarca;Viajero;2023M11;42.067
Total;Dinamarca;Viajero;2023M10;66.548
Total;Dinamarca;Viajero;2023M09;58.557
Total;Dinamarca;Viajero;2023M08;50.160
Total;Dinamarca;Viajero;2023M07;83.365
Total;Dinamarca;Viajero;2023M06;44.028
Total;Dinamarca;Viajero;2023M05;48.290
Total;Dinamarca;Viajero;2023M04;54.007
Total;Dinamarca;Viajero;2023M03;49.914
Total;Dinamarca;Viajero;2023M02;42.814
Total;Dinamarca;Viajero;2023M01;36.103
Total;Dinamarca;Viajero;2022M12;29.667
Total;Dinamarca;Viajero;2022M11;37.264
Total;Dinamarca;Viajero;2022M10;60.784
Total;Dinamarca;Viajero;2022M09;66.012
Total;Dinamarca;Viajero;2022M08;50.043
Total;Dinamarca;Viajero;2022M07;92.739
Total;Dinamarca;Viajero;2022M06;42.486
Total;Dinamarca;Viajero;2022M05;54.737
Total;Dinamarca;Viajero;2022M04;53.475
Total;Dinamarca;Viajero;2022M03;44.074
Total;Dinamarca;Viajero;2022M02;36.925
Total;Dinamarca;Viajero;2022M01;27.330
Total;Dinamarca;Viajero;2021M12;26.712
Total;Dinamarca;Viajero;2021M11;38.990
Total;Dinamarca;Viajero;2021M10;64.886
Total;Dinamarca;Viajero;2021M09;46.867
Total;Dinamarca;Viajero;2021M08;39.862
Total;Dinamarca;Viajero;2021M07;67.008
Total;Dinamarca;Viajero;2021M06;23.853
Total;Dinamarca;Viajero;2021M05;6.166
Total;Dinamarca;Viajero;2021M04;2.512
Total;Dinamarca;Viajero;2021M03;2.090
Total;Dinamarca;Viajero;2021M02;939
Total;Dinamarca;Viajero;2021M01;1.181
Total;Dinamarca;Viajero;2020M12;1.573
Total;Dinamarca;Viajero;2020M11;1.497
Total;Dinamarca;Viajero;2020M10;2.818
Total;Dinamarca;Viajero;2020M09;3.101
Total;Dinamarca;Viajero;2020M08;5.710
Total;Dinamarca;Viajero;2020M07;11.653
Total;Dinamarca;Viajero;2020M06;.
Total;Dinamarca;Viajero;2020M05;.
Total;Dinamarca;Viajero;2020M04;0
Total;Dinamarca;Viajero;2020M03;21.058
Total;Dinamarca;Viajero;2020M02;44.216
Total;Dinamarca;Viajero;2020M01;35.445
Total;Dinamarca;Viajero;2019M12;29.854
Total;Dinamarca;Viajero;2019M11;38.806
Total;Dinamarca;Viajero;2019M10;66.102
Total;Dinamarca;Viajero;2019M09;60.381
Total;Dinamarca;Viajero;2019M08;50.118
Total;Dinamarca;Viajero;2019M07;87.724
Total;Dinamarca;Viajero;2019M06;51.061
Total;Dinamarca;Viajero;2019M05;62.315
Total;Dinamarca;Viajero;2019M04;54.958
Total;Dinamarca;Viajero;2019M03;50.413
Total;Dinamarca;Viajero;2019M02;42.841
Total;Dinamarca;Viajero;2019M01;37.544
Total;Dinamarca;Viajero;2018M12;28.925
Total;Dinamarca;Viajero;2018M11;37.593
Total;Dinamarca;Viajero;2018M10;68.275
Total;Dinamarca;Viajero;2018M09;64.111
Total;Dinamarca;Viajero;2018M08;51.741
Total;Dinamarca;Viajero;2018M07;98.855
Total;Dinamarca;Viajero;2018M06;49.924
Total;Dinamarca;Viajero;2018M05;60.474
Total;Dinamarca;Viajero;2018M04;54.906
Total;Dinamarca;Viajero;2018M03;59.023
Total;Dinamarca;Viajero;2018M02;47.831
Total;Dinamarca;Viajero;2018M01;41.737
Total;Dinamarca;Viajero;2017M12;31.377
Total;Dinamarca;Viajero;2017M11;40.359
Total;Dinamarca;Viajero;2017M10;70.738
Total;Dinamarca;Viajero;2017M09;71.126
Total;Dinamarca;Viajero;2017M08;55.820
Total;Dinamarca;Viajero;2017M07;95.511
Total;Dinamarca;Viajero;2017M06;57.639
Total;Dinamarca;Viajero;2017M05;58.105
Total;Dinamarca;Viajero;2017M04;55.589
Total;Dinamarca;Viajero;2017M03;51.924
Total;Dinamarca;Viajero;2017M02;44.100
Total;Dinamarca;Viajero;2017M01;35.585
Total;Dinamarca;Viajero;2016M12;28.386
Total;Dinamarca;Viajero;2016M11;36.466
Total;Dinamarca;Viajero;2016M10;63.374
Total;Dinamarca;Viajero;2016M09;61.312
Total;Dinamarca;Viajero;2016M08;53.165
Total;Dinamarca;Viajero;2016M07;92.715
Total;Dinamarca;Viajero;2016M06;47.201
Total;Dinamarca;Viajero;2016M05;47.862
Total;Dinamarca;Viajero;2016M04;50.500
Total;Dinamarca;Viajero;2016M03;51.390
Total;Dinamarca;Viajero;2016M02;41.293
Total;Dinamarca;Viajero;2016M01;32.069
Total;Dinamarca;Viajero;2015M12;25.585
Total;Dinamarca;Viajero;2015M11;32.033
Total;Dinamarca;Viajero;2015M10;59.590
Total;Dinamarca;Viajero;2015M09;48.762
Total;Dinamarca;Viajero;2015M08;36.803
Total;Dinamarca;Viajero;2015M07;72.695
Total;Dinamarca;Viajero;2015M06;39.675
Total;Dinamarca;Viajero;2015M05;42.061
Total;Dinamarca;Viajero;2015M04;44.092
Total;Dinamarca;Viajero;2015M03;47.334
Total;Dinamarca;Viajero;2015M02;35.339
Total;Dinamarca;Viajero;2015M01;28.937
Total;Dinamarca;Viajero;2014M12;24.346
Total;Dinamarca;Viajero;2014M11;30.404
Total;Dinamarca;Viajero;2014M10;55.714
Total;Dinamarca;Viajero;2014M09;49.262
