Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Pernoctaciones;Total;;2014M03;0,43
Pernoctaciones;Total;;2014M02;0,37
Pernoctaciones;Total;;2014M01;0,37
Pernoctaciones;Total;Residentes en España;2025M04;""
Pernoctaciones;Total;Residentes en España;2025M03;""
Pernoctaciones;Total;Residentes en España;2025M02;""
Pernoctaciones;Total;Residentes en España;2025M01;""
Pernoctaciones;Total;Residentes en España;2024M12;0,87
Pernoctaciones;Total;Residentes en España;2024M11;0,82
Pernoctaciones;Total;Residentes en España;2024M10;0,88
Pernoctaciones;Total;Residentes en España;2024M09;0,73
Pernoctaciones;Total;Residentes en España;2024M08;0,57
Pernoctaciones;Total;Residentes en España;2024M07;0,62
Pernoctaciones;Total;Residentes en España;2024M06;0,73
Pernoctaciones;Total;Residentes en España;2024M05;0,75
Pernoctaciones;Total;Residentes en España;2024M04;0,8
Pernoctaciones;Total;Residentes en España;2024M03;0,79
Pernoctaciones;Total;Residentes en España;2024M02;0,84
Pernoctaciones;Total;Residentes en España;2024M01;0,96
Pernoctaciones;Total;Residentes en España;2023M12;0,74
Pernoctaciones;Total;Residentes en España;2023M11;0,73
Pernoctaciones;Total;Residentes en España;2023M10;0,73
Pernoctaciones;Total;Residentes en España;2023M09;0,59
Pernoctaciones;Total;Residentes en España;2023M08;0,48
Pernoctaciones;Total;Residentes en España;2023M07;0,56
Pernoctaciones;Total;Residentes en España;2023M06;0,89
Pernoctaciones;Total;Residentes en España;2023M05;0,82
Pernoctaciones;Total;Residentes en España;2023M04;0,68
Pernoctaciones;Total;Residentes en España;2023M03;0,86
Pernoctaciones;Total;Residentes en España;2023M02;0,74
Pernoctaciones;Total;Residentes en España;2023M01;0,82
Pernoctaciones;Total;Residentes en España;2022M12;0,72
Pernoctaciones;Total;Residentes en España;2022M11;0,76
Pernoctaciones;Total;Residentes en España;2022M10;0,71
Pernoctaciones;Total;Residentes en España;2022M09;0,62
Pernoctaciones;Total;Residentes en España;2022M08;0,54
Pernoctaciones;Total;Residentes en España;2022M07;0,69
Pernoctaciones;Total;Residentes en España;2022M06;0,88
Pernoctaciones;Total;Residentes en España;2022M05;0,85
Pernoctaciones;Total;Residentes en España;2022M04;0,68
Pernoctaciones;Total;Residentes en España;2022M03;0,85
